layer,code,linetype,lineweight,color,pattern_name,pattern_color,pattern_scale,pattern_lineweight,solid_color
G_B_23,X,continuous,0.4,"271,71,71",random_points_01,"254,90,90",10,1.4,"182,197,65"
G_B_34,X,continuous,0.4,"255,255,255",random_points_01,"255,255,255",10,1.4,"163,0,79"
G_B_07,X,continuous,1.2,"255,255,255",random_points_01,"255,255,255",6,1.2,"182,197,65"
G_B_16,X,continuous,0.40,"200,71,71",G_L_01,"254,90,90",9,1.2,"182,197,65"
G_B_18,X,continuous,0.40,"255,224,0",G_L_01,"255,224,0",9,1.2,"127,180,59"
G_B_21,X,continuous,0.4,"63,191,127",random_points_01,"230,255,0",10,1.2,"182,197,65"
G_F_02,X,continuous,0.3,"203,100,255",random_points_01,"203,100,255",5,1.2,"203,220,73"
G_F_03,X,continuous,0.3,"203,100,255",random_points_01,"203,100,255",5,1.2,"203,220,73"
G_B_10,X,continuous,0.18,"71,100,33",random_points_01,"255,255,255",6,0.6,"99,140,46"
P_M_01_a,X,continuous,0.18,"90,90,90",random_points_01,"170,170,170",1,0.5,"110,110,110"
P_M_01_b,X,continuous,0.18,"90,90,90",random_points_01,"170,170,170",1,0.5,"110,110,110"
G_L_09,X,continuous,0.18,"200,0,200",Double-lines_random,"255,255,255",1,0.2,"109,180,109"
P_M_03_a,X,continuous,0.18,"200,49,49",random_points_01,"255,191,0",5,0.2,"200,200,200"
P_C_32_a,X,continuous,0.18,"190,190,190",P_C_32,"190,190,190",6.2,0.18,"230,230,230"
P_R_06,X,continuous,0.13,"200,200,200",random_points_01,"255,255,255",5,0.18,"200,200,200"
P_R_06_a,X,continuous,0.13,"200,200,200",random_points_01,"255,255,255",5,0.18,"200,200,200"
P_R_06_b,X,continuous,0.13,"200,200,200",random_points_01,"255,255,255",5,0.18,"170,170,170"
F_G_02,X,continuous,0.13,"255,255,255",Grid,"170,170,170",1,0.13,"126,126,126"
F_S_01_a,X,continuous,0.18,"191,63,255",Grid,"240,211,255",2,0.13,"192,176,200"
F_S_01_b,X,continuous,0.18,"191,63,255",Grid,"240,211,255",2,0.13,"192,176,200"
F_S_01_c,X,continuous,0.18,"191,63,255",Grid,"240,211,255",2,0.13,"192,176,200"
F_S_01_d,X,continuous,0.18,"191,63,255",Grid,"240,211,255",2,0.13,"192,176,200"
G_L_08,X,continuous,0.18,"182,197,65",V-shape_random,"242,255,138",7.5,0.13,"182,197,65"
N_F_04,X,continuous,0.18,"0,0,0",Grid,"255,255,255",1,0.13,"100,100,100"
P_C_01_a,X,continuous,0.18,"186,186,186",P_C_01,"190,190,190",1.7,0.13,"230,230,230"
P_C_01_b,X,continuous,0.18,"186,186,186",P_C_01,"190,190,190",1.7,0.13,"230,230,230"
P_C_02_a,X,continuous,0.18,"186,186,186",P_C_01,"190,190,190",1.7,0.13,"230,230,230"
P_C_02_b,X,continuous,0.18,"186,186,186",P_C_01,"190,190,190",1.7,0.13,"230,230,230"
P_C_05_a,X,continuous,0.18,"186,186,186",Grid,"160,160,160",1,0.13,"255,255,255"
P_C_05_b,X,continuous,0.18,"186,186,186",Grid,"160,160,160",1,0.13,"255,255,255"
